sweep,algorithm,n,population,trial,seed,solved,outcome,seconds,work
population,genetic,40,50,6,40050577,0,stalled,0.157858,3345
population,genetic,40,50,7,40050578,0,stalled,0.121008,2399
population,genetic,40,50,8,40050579,1,solved,0.023159,677
population,genetic,40,100,0,40101021,0,stalled,0.205238,2220
population,genetic,40,100,1,40101022,1,solved,0.080122,945
population,genetic,40,100,2,40101023,0,stalled,0.173948,2354
population,genetic,40,100,3,40101024,1,solved,0.064779,827
population,genetic,40,100,4,40101025,1,solved,0.157391,2218
population,genetic,40,100,5,40101026,0,stalled,0.159015,2152
population,genetic,40,100,6,40101027,1,solved,0.034802,447
population,genetic,40,100,7,40101028,1,solved,0.118231,1598
population,genetic,40,100,8,40101029,1,solved,0.112569,1420
population,genetic,40,200,0,40201921,0,stalled,0.305725,2125
population,genetic,40,200,1,40201922,1,solved,0.053543,346
population,genetic,40,200,2,40201923,1,solved,0.043248,246
population,genetic,40,200,3,40201924,1,solved,0.134034,809
population,genetic,40,200,4,40201925,1,solved,0.205491,1328
population,genetic,40,200,5,40201926,1,solved,0.196834,1183
population,genetic,40,200,6,40201927,1,solved,0.260622,1674
population,genetic,40,200,7,40201928,1,solved,0.178721,936
population,genetic,40,200,8,40201929,1,solved,0.069149,453
population,genetic,40,400,0,40403721,1,solved,0.16041,534
population,genetic,40,400,1,40403722,1,solved,0.339543,918
population,genetic,40,400,2,40403723,1,solved,0.125246,315
population,genetic,40,400,3,40403724,1,solved,0.221583,434
population,genetic,40,400,4,40403725,1,solved,0.086208,222
population,genetic,40,400,5,40403726,1,solved,0.037604,169
population,genetic,40,400,6,40403727,1,solved,0.126738,346
population,genetic,40,400,7,40403728,1,solved,0.73651,1989
population,genetic,40,400,8,40403729,1,solved,0.10144,349
population,genetic,40,800,0,40807321,1,solved,1.063198,1738
population,genetic,40,800,1,40807322,1,solved,0.736555,1125
population,genetic,40,800,2,40807323,1,solved,0.370638,606
population,genetic,40,800,3,40807324,1,solved,0.077106,112
population,genetic,40,800,4,40807325,1,solved,0.793489,1104
population,genetic,40,800,5,40807326,1,solved,0.411916,420
population,genetic,40,800,6,40807327,1,solved,0.257026,320
population,genetic,40,800,7,40807328,1,solved,0.539908,837
population,genetic,40,800,8,40807329,1,solved,0.272447,399
population,genetic,40,1600,0,41614521,1,solved,0.339919,208
population,genetic,40,1600,1,41614522,1,solved,0.213376,162
population,genetic,40,1600,2,41614523,1,solved,0.221562,165
population,genetic,40,1600,3,41614524,1,solved,0.1259,97
population,genetic,40,1600,4,41614525,1,solved,0.268107,188
population,genetic,40,1600,5,41614526,1,solved,1.627281,1270
population,genetic,40,1600,6,41614527,1,solved,0.617445,510
population,genetic,40,1600,7,41614528,1,solved,0.366019,204
population,genetic,40,1600,8,41614529,1,solved,0.834465,664
population,genetic,40,3200,0,43228921,1,solved,0.502138,213
population,genetic,40,3200,1,43228922,1,solved,0.480121,189
population,genetic,40,3200,2,43228923,0,stalled,5.730612,2149
population,genetic,40,3200,3,43228924,1,solved,0.505435,215
population,genetic,40,3200,4,43228925,1,solved,0.227861,101
population,genetic,40,3200,5,43228926,1,solved,3.062035,1190
population,genetic,40,3200,6,43228927,1,solved,0.433891,161
population,genetic,40,3200,7,43228928,1,solved,0.436897,158
population,genetic,40,3200,8,43228929,1,solved,0.569594,203
population,genetic,40,6400,0,46457721,1,solved,0.843946,169
population,genetic,40,6400,1,46457722,1,solved,0.853472,146
population,genetic,40,6400,2,46457723,1,solved,1.071567,206
population,genetic,40,6400,3,46457724,1,solved,0.624597,115
population,genetic,40,6400,4,46457725,1,solved,0.633257,124
population,genetic,40,6400,5,46457726,1,solved,1.867448,369
population,genetic,40,6400,6,46457727,1,solved,0.862826,175
population,genetic,40,6400,7,46457728,1,solved,1.093158,172
population,genetic,40,6400,8,46457729,1,solved,1.150663,149
population,genetic,80,25,0,80025466,0,stalled,0.261059,3250
population,genetic,80,25,1,80025467,0,stalled,0.290917,3366
population,genetic,80,25,2,80025468,0,stalled,0.226048,3667
population,genetic,80,25,3,80025469,0,stalled,0.276228,4038
population,genetic,80,25,4,80025470,0,stalled,0.244188,3249
population,genetic,80,25,5,80025471,0,stalled,0.256824,4132
population,genetic,80,25,6,80025472,0,stalled,0.175242,2697
population,genetic,80,25,7,80025473,0,stalled,0.249049,3795
population,genetic,80,25,8,80025474,0,stalled,0.314392,4443
population,genetic,80,50,0,80050691,0,stalled,0.315723,2705
population,genetic,80,50,1,80050692,0,stalled,0.337194,2793
population,genetic,80,50,2,80050693,0,stalled,0.571956,4443
population,genetic,80,50,3,80050694,0,stalled,0.341732,2562
population,genetic,80,50,4,80050695,0,stalled,0.361637,2669
population,genetic,80,50,5,80050696,0,stalled,0.44087,3405
population,genetic,80,50,6,80050697,0,stalled,0.377386,2516
population,genetic,80,50,7,80050698,0,stalled,0.391412,3017
population,genetic,80,50,8,80050699,0,stalled,0.409719,2869
population,genetic,80,100,0,80101141,0,stalled,0.899075,2950
population,genetic,80,100,1,80101142,1,solved,0.642425,2435
population,genetic,80,100,2,80101143,0,stalled,0.631249,2697
population,genetic,80,100,3,80101144,1,solved,0.527218,1931
population,genetic,80,100,4,80101145,1,solved,0.813904,3012
population,genetic,80,100,5,80101146,0,stalled,0.73672,2489
population,genetic,80,100,6,80101147,0,stalled,1.387598,4798
population,genetic,80,100,7,80101148,0,stalled,0.7499,2859
population,genetic,80,100,8,80101149,0,stalled,0.929145,3132
population,genetic,80,200,0,80202041,1,solved,0.366007,566
population,genetic,80,200,1,80202042,1,solved,0.495859,887
population,genetic,80,200,2,80202043,1,solved,1.65133,2463
population,genetic,80,200,3,80202044,1,solved,0.926144,1347
population,genetic,80,200,4,80202045,1,solved,1.366053,1811
population,genetic,80,200,5,80202046,1,solved,1.150608,1920
population,genetic,80,200,6,80202047,1,solved,2.199942,2695
population,genetic,80,200,7,80202048,0,stalled,2.571893,3819
population,genetic,80,200,8,80202049,0,stalled,2.273531,3002
population,genetic,80,400,0,80403841,1,solved,0.705427,491
population,genetic,80,400,1,80403842,0,stalled,3.271535,2491
population,genetic,80,400,2,80403843,0,stalled,2.706149,2376
population,genetic,80,400,3,80403844,1,solved,0.883616,710
population,genetic,80,400,4,80403845,0,stalled,2.964112,2759
population,genetic,80,400,5,80403846,1,solved,0.817875,770
population,genetic,80,400,6,80403847,0,stalled,2.714965,2414
population,genetic,80,400,7,80403848,1,solved,1.763294,1680
population,genetic,80,400,8,80403849,1,solved,1.9435,1785
population,genetic,80,800,0,80807441,1,solved,1.02408,477
population,genetic,80,800,1,80807442,1,solved,1.331879,595
population,genetic,80,800,2,80807443,1,solved,1.213135,575
population,genetic,80,800,3,80807444,1,solved,0.919005,412
population,genetic,80,800,4,80807445,1,solved,4.141636,1823
population,genetic,80,800,5,80807446,0,stalled,5.224033,2337
population,genetic,80,800,6,80807447,1,solved,5.180573,2110
population,genetic,80,800,7,80807448,1,solved,1.467833,572
population,genetic,80,800,8,80807449,1,solved,1.931523,823
population,genetic,80,1600,0,81614641,1,solved,1.252669,270
population,genetic,80,1600,1,81614642,1,solved,3.013456,617
population,genetic,80,1600,2,81614643,1,solved,4.639688,1109
population,genetic,80,1600,3,81614644,1,solved,2.767819,641
population,genetic,80,1600,4,81614645,1,solved,6.2136,1353
population,genetic,80,1600,5,81614646,0,stalled,10.45367,2314
population,genetic,80,1600,6,81614647,1,solved,4.691408,1002
population,genetic,80,1600,7,81614648,1,solved,4.232124,835
population,genetic,80,1600,8,81614649,1,solved,2.778163,602
population,genetic,80,3200,0,83229041,1,solved,2.328387,261
population,genetic,80,3200,1,83229042,1,solved,2.788838,328
population,genetic,80,3200,2,83229043,1,solved,4.949868,588
population,genetic,80,3200,3,83229044,1,solved,3.082355,323
population,genetic,80,3200,4,83229045,1,solved,5.573813,565
population,genetic,80,3200,5,83229046,1,solved,2.899628,291
population,genetic,80,3200,6,83229047,0,stalled,26.614037,2373
population,genetic,80,3200,7,83229048,1,solved,3.435201,333
population,genetic,80,3200,8,83229049,1,solved,4.086966,410
population,genetic,80,6400,0,86457841,1,solved,9.691508,493
population,genetic,80,6400,1,86457842,0,stalled,43.956409,2363
population,genetic,80,6400,2,86457843,1,solved,4.300889,233
population,genetic,80,6400,3,86457844,1,solved,5.420329,297
population,genetic,80,6400,4,86457845,1,solved,22.459046,1250
population,genetic,80,6400,5,86457846,1,solved,7.135659,412
population,genetic,80,6400,6,86457847,1,solved,12.186156,661
population,genetic,80,6400,7,86457848,1,solved,8.728008,437
population,genetic,80,6400,8,86457849,1,solved,7.194914,407
population,genetic,120,25,0,120025586,0,stalled,0.693296,4448
population,genetic,120,25,1,120025587,0,stalled,0.994199,5489
population,genetic,120,25,2,120025588,0,stalled,0.73081,4637
population,genetic,120,25,3,120025589,0,stalled,1.221424,7518
population,genetic,120,25,4,120025590,1,solved,0.370092,2045
population,genetic,120,25,5,120025591,0,stalled,0.681717,4047
population,genetic,120,25,6,120025592,0,stalled,0.742502,5104
population,genetic,120,25,7,120025593,0,stalled,0.696089,4332
population,genetic,120,25,8,120025594,0,stalled,0.728723,4382
population,genetic,120,50,0,120050811,0,stalled,1.423871,4488
population,genetic,120,50,1,120050812,0,stalled,1.610361,5293
population,genetic,120,50,2,120050813,0,stalled,0.844065,2970
population,genetic,120,50,3,120050814,0,stalled,1.245153,3900
population,genetic,120,50,4,120050815,0,stalled,0.923724,3299
